site_name,reg_no,permit_date,program_type,county,regional_office,pdf_url
Amazon Data Services Inc - IAD-134/135/136,74239,,09/09/2022,Article 6 - mNSR,Fairfax County,https://www.deq.virginia.gov/home/showpublisheddocument/25980/638633873589700000
Amazon Data Services Inc - IAD-104/105/106,74240,,03/08/2024,Article 6 - mNSR,Manassas City,https://www.deq.virginia.gov/home/showpublisheddocument/25982/638633874160100000
Gainesville Crossing Data Campus,74241,,10/07/2024,Article 6 - mNSR,Prince William County,https://www.deq.virginia.gov/home/showpublisheddocument/25984/638651993942270000
Vantage Data Centers VA2 LLC,74242,,09/15/2023,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25986/638633875365530000
Amazon Data Services Inc IAD-169/179,74244,,08/27/2024,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25632/638627832777030000
STACK Infrastructure NVA13,74246,,02/24/2025,Article 6 - mNSR,Manassas City,https://www.deq.virginia.gov/home/showpublisheddocument/25990/638990809950170000
Aligned Data Centers IAD03,74247,,01/06/2023,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25992/638633943624630000
Amazon Data Services Inc IAD-156 IAD-157 IAD-158 IAD-159 IAD-327,74250,,06/24/2025,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25994/638864455362300000
Amazon Data Services IAD-215,74252,,06/08/2023,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25996/638633945610570000
NTT Global Data Centers VA10 LLC,74260,,11/03/2023,Article 6 - mNSR,Prince William County,https://www.deq.virginia.gov/home/showpublisheddocument/25998/638633946055070000
"DigitalThird Second Manassas, LLC & Digital Carver Brickyard, LLC",74262,,08/29/2025,Article 6 - mNSR,Manassas City,https://www.deq.virginia.gov/home/showpublisheddocument/31170/638936293171900000
Digital Realty - Sterling Premiere LLC,74264,,09/20/2024,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25636/638627836175800000
Yondr Data Center,74265,,10/22/2024,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/26000/638651984638130000
STACK Infrastructure Data Center - SI NVA06A LLC,74269,,06/18/2024,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/26002/638633953568700000
Amazon Data Services Inc - DCA-060,74270,,10/25/2023,Article 6 - mNSR,Culpeper County,https://www.deq.virginia.gov/home/showpublisheddocument/26004/638633955502300000
Amazon Data Services Inc - DCA-064,74272,,10/25/2023,Article 6 - mNSR,Fairfax County,https://www.deq.virginia.gov/home/showpublisheddocument/26006/638633955909770000
Amazon Data Services Inc - IAD-165/166/167/168/613,74273,,12/19/2023,Article 6 - mNSR,Fairfax County,https://www.deq.virginia.gov/home/showpublisheddocument/26008/638633956319870000
Amazon Data Services Inc IAD-124/125/126/127,74274,,12/27/2023,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/26010/638633959051770000
